MovieID,Cluster_Num,Movie_ID,Movie_Title,Movie_Genre
1718,9,1718,Stranger in the House (1997),Thriller
2031,9,2031,"$1,000,000 Duck (1971)",Children's|Comedy
1869,9,1869,Black Dog (1998),Action|Thriller
1868,9,1868,"Truce, The (1996)",Drama|War
854,9,854,"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama
344,2,344,Ace Ventura: Pet Detective (1994),Comedy
345,0,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,9,346,Backbeat (1993),Drama|Musical
347,9,347,Bitter Moon (1992),Drama
340,9,340,"War, The (1994)",Adventure|Drama
341,9,341,Double Happiness (1994),Drama
342,0,342,Muriel's Wedding (1994),Comedy|Romance
343,9,343,"Baby-Sitters Club, The (1995)",Children's
348,0,348,Bullets Over Broadway (1994),Comedy
349,4,349,Clear and Present Danger (1994),Action|Adventure|Thriller
2318,0,2318,Happiness (1998),Comedy
2316,2,2316,Practical Magic (1998),Drama|Romance
2317,9,2317,"Alarmist, The (1997)",Comedy
2314,9,2314,Beloved (1998),Drama
2315,9,2315,Bride of Chucky (1998),Horror|Thriller
2312,0,2312,Children of a Lesser God (1986),Drama
2313,0,2313,"Elephant Man, The (1980)",Drama
2310,9,2310,"Mighty, The (1998)",Drama
2311,2,2311,2010 (1984),Mystery|Sci-Fi
298,9,298,Pushing Hands (1992),Comedy
299,9,299,Priest (1994),Drama
296,6,296,Pulp Fiction (1994),Crime|Drama
297,9,297,Panther (1995),Drama
294,9,294,"Perez Family, The (1995)",Comedy|Romance
295,9,295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
292,2,292,Outbreak (1995),Action|Drama|Thriller
293,4,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
290,9,290,Once Were Warriors (1994),Crime|Drama
291,9,291,Poison Ivy II (1995),Thriller
3773,9,3773,House Party (1990),Comedy
3772,9,3772,Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),Horror
3771,9,3771,"Golden Voyage of Sinbad, The (1974)",Action|Adventure
3770,2,3770,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller
3777,9,3777,Nekromantik (1987),Comedy|Horror
3776,9,3776,Melody Time (1948),Animation|Children's|Musical
3775,9,3775,Make Mine Music (1946),Animation|Children's|Musical
3774,9,3774,House Party 2 (1991),Comedy
2147,9,2147,"Clan of the Cave Bear, The (1986)",Drama
3779,9,3779,Project Moon Base (1953),Sci-Fi
3778,9,3778,On Our Merry Way (1948),Comedy|Drama
270,9,270,Love Affair (1994),Drama|Romance
271,9,271,Losing Isaiah (1995),Drama
