MovieID,Cluster_Num,Movie_ID,Movie_Title,Movie_Genre,rank
3819,0,3819,Tampopo (1986),Comedy,1
3814,0,3814,Love and Death (1975),Comedy,2
3812,0,3812,Everything You Always Wanted to Know About Sex (1972),Comedy,3
3811,0,3811,Breaker Morant (1980),Drama|War,4
3801,0,3801,Anatomy of a Murder (1959),Drama|Mystery,5
2300,1,2300,"Producers, The (1968)",Comedy|Musical,1
1235,1,1235,Harold and Maude (1971),Comedy,2
1234,1,1234,"Sting, The (1973)",Comedy|Crime,3
1233,1,1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,4
1230,1,1230,Annie Hall (1977),Comedy|Romance,5
3836,2,3836,Kelly's Heroes (1970),Action|Comedy|War,1
3827,2,3827,Space Cowboys (2000),Action|Sci-Fi,2
3826,2,3826,Hollow Man (2000),Horror|Sci-Fi|Thriller,3
3809,2,3809,What About Bob? (1991),Comedy,4
3802,2,3802,Freejack (1992),Action|Sci-Fi,5
3755,3,3755,"Perfect Storm, The (2000)",Action|Adventure|Thriller,1
3753,3,3753,"Patriot, The (2000)",Action|Drama|War,2
3535,3,3535,American Psycho (2000),Comedy|Horror|Thriller,3
3510,3,3510,Frequency (2000),Drama|Thriller,4
253,3,253,Interview with the Vampire (1994),Drama|Horror,5
3699,4,3699,Starman (1984),Adventure|Drama|Romance|Sci-Fi,1
3698,4,3698,"Running Man, The (1987)",Action|Adventure|Sci-Fi,2
3527,4,3527,Predator (1987),Action|Sci-Fi|Thriller,3
3526,4,3526,Parenthood (1989),Comedy|Drama,4
3256,4,3256,Patriot Games (1992),Action|Thriller,5
3751,5,3751,Chicken Run (2000),Animation|Children's|Comedy,1
1282,5,1282,Fantasia (1940),Animation|Children's|Musical,2
1148,5,1148,"Wrong Trousers, The (1993)",Animation|Comedy,3
296,6,296,Pulp Fiction (1994),Crime|Drama,1
50,6,50,"Usual Suspects, The (1995)",Crime|Thriller,2
1617,7,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1
1387,7,1387,Jaws (1975),Action|Horror,2
1198,7,1198,Raiders of the Lost Ark (1981),Action|Adventure,3
1197,7,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4
1196,7,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,5
2997,8,2997,Being John Malkovich (1999),Comedy,1
2987,8,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,2
2858,8,2858,American Beauty (1999),Comedy|Drama,3
2683,8,2683,Austin Powers: The Spy Who Shagged Me (1999),Comedy,4
2502,8,2502,Office Space (1999),Comedy|Romance,5
3901,9,3901,Duets (2000),Comedy|Drama,1
3839,9,3839,Phantasm IV: Oblivion (1998),Horror,2
3838,9,3838,Phantasm III: Lord of the Dead (1994),Horror,3
3835,9,3835,"Crush, The (1993)",Thriller,4
3834,9,3834,Bronco Billy (1980),Adventure|Drama|Romance,5
